parameter,base_value,change_pct,tested_value,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,ProfitFactor,Trades,FinalEquity
rsi_window,16.0,-0.2,13.0,-0.20810725985926282,-0.21971981847001038,-0.15738475655490525,-0.10859785497383284,0.4484536082474227,0.9735063760154646,388,973094.3435806789
rsi_window,16.0,0.0,16.0,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
rsi_window,16.0,0.2,19.0,0.5647645068401854,0.5796016332728527,-0.12223779525358425,0.2486441711371041,0.42105263157894735,1.0569702870196418,285,1048509.1103354914
rsi_lower,27.0,-0.2,22.0,-0.03278288467989137,-0.03284675388517931,-0.1744399331263059,-0.028147410844698545,0.4270833333333333,0.9905008816892882,288,992243.0051000548
rsi_lower,27.0,0.0,27.0,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
rsi_lower,27.0,0.2,32.0,-0.0805511897626702,-0.08837412358536528,-0.1535336459403488,-0.06425188698086103,0.4175531914893617,0.9852488536118588,376,984437.8476046157
rsi_upper,83.0,-0.2,66.0,-3.5218533745064353,-4.144091776346079,-0.38403323033725123,-0.5994545996120465,0.49726177437020813,0.7934926386369506,913,661044.1876680384
rsi_upper,83.0,0.0,83.0,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
rsi_upper,83.0,0.2,100.0,0.7441616001331846,0.7416924002479689,-0.08649507092531272,0.4880528553954506,0.3584905660377358,1.0935882349564672,212,1067602.3223246245
macd_fast,8.0,-0.2,6.0,0.602126114177128,0.6341378302665963,-0.13370339376147478,0.26393405216688537,0.45170454545454547,1.0576777528358716,352,1056400.7364126882
macd_fast,8.0,0.0,8.0,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
macd_fast,8.0,0.2,10.0,-0.2241654414944103,-0.22878791412773522,-0.14329236165694714,-0.12197176408372294,0.4064516129032258,0.9700374311537043,310,972489.8631083167
macd_slow,28.0,-0.2,22.0,0.9478535911354369,0.9961031229485302,-0.104028556989617,0.5627505190713259,0.4540229885057471,1.0979507012655623,348,1094186.6194634386
macd_slow,28.0,0.0,28.0,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
macd_slow,28.0,0.2,34.0,0.6038227174763009,0.6294443257948007,-0.11369870611991906,0.30705007338486934,0.43343653250773995,1.0594768291252856,323,1056047.5372492087
macd_signal,14.0,-0.2,11.0,0.991518109711665,1.0499927323475158,-0.10989221392957882,0.5614391983341045,0.4511494252873563,1.1028705050707506,348,1099350.008596099
macd_signal,14.0,0.0,14.0,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
macd_signal,14.0,0.2,17.0,0.1071009907266693,0.10975324354912147,-0.14043049724499423,0.0212397286325464,0.4158730158730159,1.0050489738166002,315,1004722.9122293949
bb_window,12.0,-0.2,10.0,0.2909243449816327,0.3035182483413287,-0.13862025290013136,0.1057596742232693,0.42727272727272725,1.0240614236426329,330,1023292.8588740818
bb_window,12.0,0.0,12.0,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
bb_window,12.0,0.2,14.0,0.007929826092466983,0.008219193382367838,-0.12941152358193708,-0.02436596457577767,0.4228395061728395,0.994656788077874,324,995015.8825357368
bb_std,2.9569370041441867,-0.2,2.3655496033153494,-0.7418213714946353,-0.7950823086773827,-0.14376897840485037,-0.3581603028622123,0.45114345114345117,0.9290970128579921,481,919764.391768124
bb_std,2.9569370041441867,0.0,2.9569370041441867,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
bb_std,2.9569370041441867,0.2,3.548324404973024,0.023966403481494793,0.02432139449020197,-0.11758495609976904,-0.017956841643985984,0.4228187919463087,0.9963649824902532,298,996661.5467245509
bb_lower_pct,0.19667041033345034,-0.2,0.15733632826676028,0.5008095794096928,0.517510691807327,-0.12295721074533994,0.2256557575599882,0.4423676012461059,1.047641508314609,321,1044249.7393003898
bb_lower_pct,0.19667041033345034,0.0,0.19667041033345034,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
bb_lower_pct,0.19667041033345034,0.2,0.2360044924001404,0.005374751653067878,0.00562380673223967,-0.13859836101629297,-0.025576701954432148,0.4257142857142857,0.9944008460303873,350,994397.4628034492
bb_upper_pct,0.9725074298149415,-0.2,0.7780059438519533,-2.2587042301938416,-2.5271756465330193,-0.24912541956603218,-0.5726688327403137,0.4799405646359584,0.8256455901731188,673,783857.6504422633
bb_upper_pct,0.9725074298149415,0.0,0.9725074298149415,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
bb_upper_pct,0.9725074298149415,0.2,0.999,0.39224383823431774,0.40678063765679656,-0.13197823760769234,0.1592512808731106,0.4249201277955272,1.0357806496469906,313,1033454.6691352597
sl,0.01989000500019485,-0.2,0.01591200400015588,0.2639411827167832,0.27036438438297944,-0.1308434528374508,0.09699404703952125,0.3908355795148248,1.0207320461649596,371,1020152.3675006436
sl,0.01989000500019485,0.0,0.01989000500019485,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
sl,0.01989000500019485,0.2,0.02386800600023382,-0.2601491442198612,-0.2712675695198022,-0.15417019775825402,-0.1305541621300431,0.45695364238410596,0.9660967879629108,302,968343.4940839837
tp,0.05421174135187096,-0.2,0.04336939308149677,-0.07281137685275517,-0.07438750877490283,-0.13673840032545648,-0.057401407199944104,0.44744744744744747,0.9865245126621577,333,987610.6266101899
tp,0.05421174135187096,0.0,0.05421174135187096,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
tp,0.05421174135187096,0.2,0.06505408962224514,0.7022125076395221,0.7401271915489731,-0.13968972260333057,0.3009236438135702,0.43217665615141954,1.072793150268313,317,1067313.4987430796
capital_fraction,0.24774197937140996,-0.2,0.19819358349712798,0.5881713183925192,0.6126298675416874,-0.10451348634638546,0.2625363508677505,0.43902439024390244,1.0580161974568016,328,1043755.6175885327
capital_fraction,0.24774197937140996,0.0,0.24774197937140996,0.5852091156438191,0.6095471445423922,-0.12932181849426005,0.25858677633743166,0.43902439024390244,1.0567669471343049,328,1053419.0215802388
capital_fraction,0.24774197937140996,0.2,0.29729037524569196,0.5822486685414846,0.6064660496539894,-0.153611048423982,0.25446238597036824,0.43902439024390244,1.0554982867023466,328,1062540.7747161873
